artist|title|year|lyric
Taylor Swift|london boy|2019| We can go driving in, on my scooter Uh, you know, just 'round London Oh, I'd... I love my hometown as much as Motown, I love SoCal And you know I love Springsteen, faded blue jeans, Tennessee whiskey But something happened, I heard him laughing I saw the dimples first and then I heard the accent They say home is where the heart is But that's not where mine lives You know I love a London boy I enjoy walking Camden Market in the afternoon He likes my American smile, like a child when our eyes meet Darling, I fancy you Took me back to Highgate, met all of his best mates So I guess all the rumors are true You know I love a London boy Boy, I fancy you And now I love high tea, stories from Uni, and the West End You can find me in the pub, we are watching rugby with his school friends Show me a gray sky, a rainy cab ride Babes, don't threaten me with a good time They say home is where the heart is But God, I love the English You know I love a London boy, I enjoy nights in Brixton Shoreditch in the afternoon He likes my American smile, like a child when our eyes meet Darling, I fancy you Took me back to Highgate, met all of his best mates So I guess all the rumors are true You know I love a London boy Boy, I fancy you So please show me Hackney Doesn't have to be Louis V up on Bond Street Just wanna be with you Wanna be with you Stick with me, I'm your queen Like a Tennessee Stella McCartney on the Heath Just wanna be with you Wanna be with you You know I love a London boy, I enjoy walking Soho Drinking in the afternoon He likes my American smile, like a child when our eyes meet Darling, I fancy you Took me back to Highgate, met all of his best mates So I guess all the rumors are true You know I love a London boy Boy , I fancy you So please show me Hackney Doesn't have to be Louis V up on Bond Street Just wanna be with you I, I, I fancy you Oh whoa, oh, I Stick with me, I'm your queen Like a Tennessee Stella McCartney on the Heath Just wanna be with you Wanna be with you I fancy you , I fancy you Oh whoa, ah 
Taylor Swift|new romantics|2016|We're all bored We're also tired of everything We wait for trains that just aren't coming We show off our different scarlet letters Trust me mine is better We're so young that we're on the road to ruin We play dumb But we know exactly what we're doing We cry tears Of mascara in the bathroom Honey life is just a classroom 'Cause baby I could build a castle Out of all the brick they threw at me And every day it's like a battle But every night with us is like a dream Baby, we're the New Romantics Come on, come on along with me Heart break is the national anthem We sing it proudly We are too busy dancing To get knocked off our feet Baby, we're the New Romantics The best people in life are free We're all here The light and noise are blinding We hang back It's all in the timing It's poker, you can't see in my face But I'm about to play my ace We need love, but all we want is danger We team up and switch up sides like a record changer The rumors, are terrible and cruel But honey most of them are true 'Cause baby I could build a castle Out of all the brick they threw at me And every day it's like a battle But every night with us is like a dream Baby, we're the New Romantics Come on, come on along with me Heart break is the national anthem We sing it proudly We are too busy dancing To get knocked off our feet Baby, we're the New Romantics The best people in life are free So come on, come on along with me The best people in life are free Please take my hand and Please take me dancing and Please leave me stranded it's so romantic 'Cause baby I could build the castle Out of all the brick they threw at me And every day it's like a battle But every night with us is like a dream 'Cause baby I could build the castle Out of all the brick they threw at me And every day it's like a battle But every night with us is like a dream Baby, we're the New Romantics Come on, come on along with me Heart break is the national anthem We sing it proudly We are too busy dancing To get knocked off our feet Baby, we're the New Romantics The best people in life are free
Taylor Swift|jump then fall|2009|I like the way you sound in the morning We're on the phone & without a warning I realize your laugh is the best sound I have ever heard I like the way I can't keep my focus I watch you talk, you didn't notice I hear the words but all I can think is we should be together Every time you smile, I smile And every time you shine, I'll shine for you Whoa, I'm feeling you baby Don't be afraid to jump then fall Jump then fall into me Baby, I'm never gonna leave you Say that you wanna be with me too 'Cause I'm gonna stay through it all So jump then fall Well, I like the way your hair falls in your face You got the keys to me, I love each freckle on your face Oh, I've never been so wrapped up, honey I like the way you're everything I ever wanted I had time to think it over & all I can say is come closer Take a deep breath & jump then fall into me 'Cause every time you smile, I smile And every time you shine, I'll shine for you Whoa, I'm feeling you baby Don't be afraid to jump then fall Jump then fall into me Baby, I'm never gonna leave you Say that you wanna be with me too 'Cause I'm gonna stay through it all So jump then fall ... The bottom's gonna drop out from under our feet I'll catch you When people say things that bring you to your knees I'll catch you The time is gonna come when you're so mad you could cry But I'll hold you through the night until you smile Whoa oh, I need you baby Don't be afraid please jump then fall Jump then fall into me Baby, I'm never gonna leave you Say that you wanna be with me too 'Cause I'm gonna stay through it all So jump then fall Jump then fall, baby Jump then fall into me, into me Every time you smile, I smile And every time you shine, I'll shine And every time you're here, baby I'll show you I'll show you, you can Jump then fall Jump then fall into me Into to me now
Taylor Swift|the man|2019| I would be complex, I would be cool They'd say I played the field before I found someone to commit to And that would be okay for me to do Every conquest I had made would make me more of a boss to you I'd be a fearless leader I'd be an alpha type When everyone believes ya What's that like? I'm so sick of running as fast as I can Wondering if I'd get there quicker if I was a man And I'm so sick of them coming at me again 'Cause if I was a man, then I'd be the man I'd be the man I'd be the man They'd say I hustled, put in the work They wouldn't shake their heads and question how much of this I deserve What I was wearing, if I was rude Could all be separated from my good ideas and power moves And they would toast to me, oh, let the players play I'd be just like Leo in SaintTropez I'm so sick of running as fast as I can Wondering if I'd get there quicker if I was a man And I'm so sick of them coming at me again 'Cause if I was a man, then I'd be the man I'd be the man I'd be the man What's it like to brag about raking in dollars And getting bitches and models? And it's all good if you're bad And it's okay if you're mad If I was out flashing my dollars I'd be a bitch, not a baller They'd paint me out to be bad So, it's okay that I'm mad I'm so sick of running as fast as I can Wondering if I'd get there quicker if I was a man And I'm so sick of them coming at me again 'Cause if I was a man Then I'd be the man I'm so sick of running as fast as I can Wondering if I'd get there quicker if I was a man And I'm so sick of them coming at me again 'Cause if I was a man , then I'd be the man I'd be the man I'd be the man I'd be the man I'd be the man If I was a man, then I'd be the man 
Taylor Swift|ronan|2012|I remember your bare feet, down the hallway. I remember your little laugh, racecars on the kitchen floor, plastic dinosaurs. I love You to the moon and back. I remember your blue eyes, lookin' into mine, like we had our own secret club. I remember you dancin', before bed time, then jumpin' on me wakin' me up. I can still feel you hold my hand, little man. And even the moment I knew, You fought it hard like an army guy. Rememeber I, leaned in and whispered to you Come on baby with me, we're gonna fly away, from here. You were my best four years. I remember the drive home, when the blind hope turned to cryin' and screamin' 'why'. Flowers pile up in the worst way, no one knows what to say about a beautiful boy who died. And it's about to be Halloween, You could be anything You wanted, if You were still here. I remember the last day, when I kissed your face and whispered in your ear Come on baby with me, we're gonna fly away, from here. Out of this curtained room, and this hospital gray. We'll just disappear. Come on baby with me, we're gonna fly away, from here. You were my best four years. And what if I'm standin' in your closet, tryin' to talk to You. And what if I kept the handmedowns you won't grow into. And what if I really thought, some miracle would see us through. And what if the miracle was even getting one moment with You. Come on baby with me, we're gonna fly away, from here. Come on baby with me, we're gonna fly away, from here. You were my best four years. I remember your bare feet, down the hallway. I love You to the moon and back
Taylor Swift|safe  sound|2012|I remember tears streaming down your face when I said "I'll never let you go" When all those shadows almost killed your light I remember you said "don't leave me here alone" But all that's dead and gone and passed tonight Just close your eyes The sun is going down You'll be alright No one can hurt you now Come mornign light You and I will be safe and sound Don't you dare look out your window Darling everything's on fire The war outside our door keeps raging on Hold on to this lullaby Even when the music's gone Gone Just close your eyes The sun is going down You'll be alright No one can hurt you Come morning light You and I will be safe and sound Ooh, ooh, ooh, ooh Ooh,ooh,ooh,ooh Ooh, oh, ooh, oh Just close your eyes The sun is going down You'll be alright No one can hurt you now Come morning light You and I will be safe and sound
Taylor Swift|gorgeous|2017|Gorgeous You should take it as a compliment That I got drunk and made fun of the way you talk You should think about the consequence Of your magnetic field being a little too strong And I got a boyfriend, he's older than us He's in the club doing I don't know what You're so cool it makes me hate you so much Whiskey on ice, sunset and vine You've ruined my life by not being mine You're so gorgeous I can't say anything to your face 'Cause look at your face And I'm so furious At you for making me feel this way But what can I say? You're gorgeous You should take it as a compliment That I'm talking to everyone here but you And you should think about the consequence Of you touching my hand in the darkened room If you've got a girlfriend, I'm jealous of her But if you're single that's honestly worse 'Cause you're so gorgeous it actually hurts Ocean blue eyes looking in mine I feel like I might sink and drown and die You're so gorgeous I can't say anything to your face 'Cause look at your face And I'm so furious At you for making me feel this way But what can I say? You're gorgeous You make me so happy it turns back to sad, yeah There's nothing I hate more than what I can't have You are so gorgeous it makes me so mad You make me so happy it turns back to sad, yeah There's nothing I hate more than what I can't have Guess I'll just stumble on home to my cats Alone, unless you wanna come along, oh! You're so gorgeous I can't say anything to your face 'Cause look at your face And I'm so furious At you for making me feel this way But what can I say? You're gorgeous You make me so happy it turns back to sad, yeah There's nothing I hate more than what I can't have You are so gorgeous it makes me so mad You're gorgeous You make me so happy it turns back to sad, yeah There's nothing I hate more than what I can't have You are so gorgeous it makes me so mad You're gorgeous
Taylor Swift|white horse|2009|Say you're sorry That face of an angel Comes out just when you need it to As I paced back and forth all this time Cause I honestly believed in you Holding on The days drag on Stupid girl I should have known, I should have known I'm not a princess, this ain't a fairy tale I'm not the one you'll sweep off her feet Lead her up the stairwell This ain't Hollywood, this is a small town I was a dreamer before you went and let me down Now it's too late for you and your white horse to come around Baby I was naive Got lost in your eyes And never really had a chance My mistake, I didn't know to be in love You had to fight to have the upper hand I had so many dreams About you and me Happy endings Now I know I'm not a princess, this ain't a fairy tale I'm not the one you'll sweep off her feet Lead her up the stairwell This ain't Hollywood, this is a small town I was a dreamer before you went and let me down Now it's too late for you and your white horse to come around And there you are on your knees Begging for forgiveness, begging for me Just like I always wanted but I'm so sorry Cause I'm not your princess, this ain't a fairytale I'm gonna find someone someday who might actually treat me well This is a big world, that was a small town There in my rear view mirror disappearing now And it's too late for you and your white horse Now it's too late for you and your white horse to catch me now Oh, whoa, whoa, whoa Try and catch me now Oh, it's too late To catch me now
Taylor Swift|state of grace|2012|I'm walking fast through the traffic lights Busy streets and busy lives And all we know is touch and go We are alone with our changing minds We fall in love till it hurts or bleeds, or fades in time And I never saw you coming And I'll never be the same You come around and the armor falls Pierce the room like a cannon ball Now all we know, is dont let go We are alone just you and me Up in your room and our slates are clean Just twin fire signs, four blue eyes So you were never a saint. And I love in shades of wrong We learn to live with the pain. Mosaic broken hearts But this love is brave and wild. And I never saw you coming And I'll never be the same This is a state of grace This is the worth while fight Love is a ruthless game Unless you play it good and right These are the hands of fate Your'e my Achilles heel This is the golden age of something good And right and real And I never saw you coming And I'll never be the same And I never saw you coming And I'll never be the same This is a state of grace This is a worth while fight Love is a ruthless game Unless you play it good and right
Taylor Swift|fifteen|2010|You take a deep breath and you walk through the doors It's the morning of your very first day You say "Hi" to your friends you ain't seen in a while Try and stay out of everybody's way It's your freshman year and you're gonna be here For the next four years in this town Hoping one of those senior boys will wink at you and say, "You know I haven't seen you around before." 'Cause when you're fifteen and somebody tells you they love you You're gonna believe them And when you're fifteen Feeling like there's nothing to figure out Well count to ten, take it in This is life before you know who you're gonna be Fifteen You sit in class next to a redhead named Abigail And soon enough you're best friends Laughing at the other girls who think they're so cool We'll be out of here as soon as we can And then you're on your very first date and he's got a car And you're feeling like flying And you're momma's waiting up and you think he's the one And you're dancing 'round your room when the night ends When the night ends 'Cause when you're fifteen and somebody tells you they love you You're gonna believe them When you're fifteen and your first kiss Makes your head spin round but In your life you'll do things greater than dating the boy of the football team But I didn't know it at fifteen When all you wanted was to be wanted Wish you could go back and tell yourself what you know now Back then I swore I was gonna marry him someday But I realized some bigger dreams of mine And Abigail gave everything she had to a boy Who changed his mind and we both cried 'Cause when you're fifteen and somebody tells you they love you You're gonna believe them And when you're fifteen, don't forget to look before you fall I've found that time can heal most anything And you just might find who you're supposed to be I didn't know who I was supposed to be at fifteen La la la la la la la La la la la la la la La la la la la la la Your very first day Take a deep breath, girl Take a deep breath as you walk through the doors.
